C0 12347,,,,,,,
,,,,N0 123490.11,,,
56 78919,,F4 55538,67 8916,A0 123461,,,
53 837,D6 7906,,A0 123475,99 291,,,
F3 88826,03,,,01 23471,,,
,S6 78975,,,B5 518017,,,
B6 7395,D0 S67909,,A0 123470,,,,
,B5 678913,,01 23468,F4 558339,,,
17 06,C0 123167,A0 123459,,C1 234647,,,
D0 8679,0,40 1234575,01 23162,,,,
C0 123460,A0 123174,D0 S67894,57 0,F4 588845,,,02 M7
D0 S67894,14 5698,,A0 1234567,,,D0 S67913,
A0 123482,A0 123174,,A0 123479,C0 123460,,,
A0 123476,D0 S67913,,FA 5888523,,,,C0 123465
,13 67916,,,,,,C0 123465
15 678901,,,,,,,
A0 123473,,,,,,F4,24 570
,,,05 67714,,,05 67714,F4 538843
F8,,,A0 123464,,,,F8
D0 467902,,,,AD E,,,85 678903
,,45 -8848,D0 367911,P4 S888245,,15 703,F4 538843
85 36,,20 123455,BS 67892,,A0 123471,,
15 650,,,,23 55,B5 67S920,,
,,,,,,C0 1-23461,85 6-78922
45 -8848,A0 123469,,,3,,,A0 123473
88 350,C0 123469,,D0 S67S9,,C0 1234845,A0 123471,00 867918
15 691,,B5 678905,10 12348.,,C0 1 23479,P4 S888245,D0 9.67892
D0 357898,34 5691,B5 678918,,,C0 1 23463,88 350,A0 123464
D0 867915,01 23475,,,45 705,15 700,C0 123465,A0 123478
