A0123456,F4588847,A0123476,A0123458,F4588834,E2345698,A0123479,
A0123457,C01 23456,C0123468,,B5678919,B5678909,C0123460,B5678912
C0123461,A0123478,C0123482,E2345690,D0867900,B56 78904,D0867890,D0867908
A0123459,A0123481,C0123466,D08 67903,D0867906,,B5678929,
C0123475,,D0867910 ,E2345699,D0867915,C0123481,B5678925,D0867916
,A0123484,D0867905,2345688,F4588842,,B56 78907,
A0123462,123470,D0867904,E2345702,,B567892,D08 67917,A0123463
A0123464,,C0123462,E2345705,F4588837,C0123485,,A0123480
,A0123472,D0867912,E2345683,F4588836,B5678930,A0123469,A0123482
A0123466,2345692,D08 67902,E2345693,F4588840,,C0123464,
A0123465,A0123467,C0123478,2345689,F45 88850,D0867907,,B5678923
A0123477,,E2345701,,C0123465,D0867918,A0123474,
A0123468,E2345678,C0123477,F4588826,F4588823,D08 67911,D08 67896,D0867893
A01234852,E2345680,D0867901,D0867898,E2345687,F4588838,,D0867913
1234713,C0123459,D0867909,B5678901,B5678902,,B5678916,
5678920,C0123458,E2345704,D0867897,,B5678924,,
