,A0123456,F45 88847,A0123476,F45 88834,E23 45698,,
,A0123457,CO123456,A01 23458,,AO123479,,
,,,CO1 23468,B5678919,CO123460,B5678912,Acff.
,CO1 23461,AO1 23478,E23 45690,DOS 67900,DOS 67890 ,DOS 6790S,
99,A0123459,A01 23481,DO8 67903 ,DO8 67906,B56 78929,,
,CO1 23475,,E23 45699,,,,
,,,,DO8 67915 ,CO123481,DO8 67916 ,
,,A0123484,23 45688,F4588842,B56 78907,,
,A01 23462,CO123470,E23 45702,,,,
,,D08 67904,,,DO867917,AO1 23463,
,A0123464,CO123462,E23 45705,F45 88837,CO123485,,
,,,,,,A01 23480,
,,DO8 67912,E23 45683,F45 88836,B5678930,A0123469,
,,,,,,A0123482,
,A01 23466,DO8 67902,2345693,F45 88840,,CO1 23464,
,,,,,,,
,AO1 23465,CO1 23478,E2345689,F4588850,DO8 67907,,
,,,,,,,B56 78923
A0123477,,E23 45701,,CO1 23465,DO8 67918,,
,,,,,,A01 23474,
,,,,,,,
A0123468,E23 45678,CO123477,F45 88826,F45 88823,DO8 67911,DO8 67896,D08 67893 
,,,,,,,
A0123A85,E2345680,DO867901,D0867898,E23 45687,F45 88838,,
,,,,,,,DO8 67913
,,,,,,,
271,CO123459,DO867909 ,B56 78901,B5678902,,B5678916,
,,,,,,,
,,,,,,,
689,,345704,DO867897,,B56 78924,,
